Timestamp,Target Eye,Velocity (deg/s),Interval Since Prev (s),Status
23:09:09.800,Left Eye,-499.19,0.0459,Normal
23:09:09.864,Right Eye,-221.46,0.0647,Normal
23:09:09.864,Left Eye,221.46,0.0647,Normal
23:09:09.910,Right Eye,-0.0,0.0462,Normal
23:09:09.910,Left Eye,495.58,0.0462,Normal
23:09:09.956,Right Eye,1003.07,0.0457,ANOMALY DETECTED
23:09:09.956,Left Eye,-626.92,0.0457,ANOMALY DETECTED
23:09:10.002,Right Eye,-125.65,0.0456,Normal
23:09:10.002,Left Eye,251.31,0.0456,Normal
23:09:10.048,Right Eye,1226.82,0.0467,ANOMALY DETECTED
23:09:10.048,Left Eye,-736.09,0.0467,ANOMALY DETECTED
23:09:10.095,Right Eye,-245.09,0.0468,Normal
23:09:10.095,Left Eye,306.37,0.0468,Normal
23:09:10.142,Right Eye,0.0,0.0469,Normal
23:09:10.142,Left Eye,0.0,0.0469,Normal
23:09:10.190,Right Eye,-1187.8,0.0482,ANOMALY DETECTED
23:09:10.190,Left Eye,237.56,0.0482,Normal
23:09:10.237,Right Eye,618.88,0.0463,ANOMALY DETECTED
23:09:10.237,Left Eye,-1237.77,0.0463,ANOMALY DETECTED
23:09:10.281,Right Eye,0.0,0.0445,Normal
23:09:10.281,Left Eye,257.31,0.0445,Normal
23:09:10.329,Right Eye,-241.4,0.0475,Normal
23:09:10.329,Left Eye,-603.51,0.0475,ANOMALY DETECTED
23:09:10.377,Right Eye,0.0,0.0482,Normal
23:09:10.377,Left Eye,1188.1,0.0482,ANOMALY DETECTED
23:09:10.425,Right Eye,-600.73,0.0477,ANOMALY DETECTED
23:09:10.425,Left Eye,-1201.46,0.0477,ANOMALY DETECTED
23:09:10.471,Right Eye,495.85,0.0462,Normal
23:09:10.471,Left Eye,619.82,0.0462,ANOMALY DETECTED
23:09:10.521,Right Eye,567.9,0.0504,ANOMALY DETECTED
23:09:10.521,Left Eye,-454.32,0.0504,Normal
23:09:10.563,Right Eye,0.0,0.0417,Normal
23:09:10.563,Left Eye,0.0,0.0417,Normal
23:09:10.610,Right Eye,0.0,0.047,Normal
23:09:10.610,Left Eye,0.0,0.047,Normal
23:09:10.656,Right Eye,-414.77,0.046,Normal
23:09:10.656,Left Eye,-622.15,0.046,ANOMALY DETECTED
23:09:10.701,Right Eye,769.01,0.0447,ANOMALY DETECTED
23:09:10.701,Left Eye,0.0,0.0447,Normal
23:09:10.747,Right Eye,0.0,0.0458,Normal
23:09:10.747,Left Eye,1251.46,0.0458,ANOMALY DETECTED
23:09:10.792,Right Eye,0.0,0.0459,Normal
23:09:10.792,Left Eye,-249.78,0.0459,Normal
23:09:10.838,Right Eye,0.0,0.0458,Normal
23:09:10.838,Left Eye,1250.4,0.0458,ANOMALY DETECTED
23:09:10.888,Right Eye,0.0,0.0494,Normal
23:09:10.888,Left Eye,-580.28,0.0494,ANOMALY DETECTED
23:09:10.931,Right Eye,0.0,0.0434,Normal
23:09:10.931,Left Eye,264.07,0.0434,Normal
23:09:10.978,Right Eye,-615.64,0.0465,ANOMALY DETECTED
23:09:10.978,Left Eye,0.0,0.0465,Normal
23:09:11.038,Right Eye,189.89,0.0603,Normal
23:09:11.038,Left Eye,0.0,0.0603,Normal
23:09:11.100,Right Eye,0.0,0.0621,Normal
23:09:11.100,Left Eye,0.0,0.0621,Normal
23:09:11.162,Right Eye,-464.27,0.0617,Normal
23:09:11.162,Left Eye,928.55,0.0617,ANOMALY DETECTED
23:09:11.224,Right Eye,370.32,0.0619,Normal
23:09:11.224,Left Eye,-185.16,0.0619,Normal
23:09:11.285,Right Eye,0.0,0.0615,Normal
23:09:11.285,Left Eye,-1864.54,0.0615,ANOMALY DETECTED
23:09:11.348,Right Eye,0.0,0.0631,Normal
23:09:11.348,Left Eye,454.02,0.0631,Normal
23:09:11.410,Right Eye,465.08,0.0616,Normal
23:09:11.410,Left Eye,-186.03,0.0616,Normal
23:09:11.470,Right Eye,-189.38,0.0605,Normal
23:09:11.470,Left Eye,473.45,0.0605,Normal
23:09:11.532,Right Eye,184.36,0.0622,Normal
23:09:11.532,Left Eye,0.0,0.0622,Normal
23:09:11.595,Right Eye,908.76,0.063,ANOMALY DETECTED
23:09:11.595,Left Eye,363.51,0.063,Normal
23:09:11.658,Right Eye,-368.1,0.0623,Normal
23:09:11.658,Left Eye,0.0,0.0623,Normal
23:09:11.748,Right Eye,0.0,0.0899,Normal
23:09:11.748,Left Eye,-318.82,0.0899,Normal
23:09:11.828,Right Eye,568.32,0.0807,ANOMALY DETECTED
23:09:11.828,Left Eye,142.08,0.0807,Normal
23:09:11.889,Right Eye,469.2,0.0611,Normal
23:09:11.889,Left Eye,312.8,0.0611,Normal
23:09:11.950,Right Eye,-189.33,0.0605,Normal
23:09:11.950,Left Eye,-1419.99,0.0605,ANOMALY DETECTED
23:09:12.012,Right Eye,-459.74,0.0623,Normal
23:09:12.012,Left Eye,919.47,0.0623,ANOMALY DETECTED
23:09:12.071,Right Eye,0.0,0.059,Normal
23:09:12.071,Left Eye,-485.64,0.059,Normal
23:09:12.134,Right Eye,0.0,0.0624,Normal
23:09:12.134,Left Eye,183.52,0.0624,Normal
23:09:12.196,Right Eye,-457.68,0.0626,Normal
23:09:12.196,Left Eye,-228.84,0.0626,Normal
23:09:12.258,Right Eye,460.04,0.0623,Normal
23:09:12.258,Left Eye,460.04,0.0623,Normal
23:09:12.321,Right Eye,-1838.4,0.0623,ANOMALY DETECTED
23:09:12.321,Left Eye,-735.36,0.0623,ANOMALY DETECTED
23:09:12.384,Right Eye,455.66,0.0629,Normal
23:09:12.384,Left Eye,31.42,0.0629,Normal
23:09:12.446,Right Eye,0.0,0.0625,Normal
23:09:12.446,Left Eye,366.9,0.0625,Normal
23:09:12.509,Right Eye,-1096.32,0.0627,ANOMALY DETECTED
23:09:12.509,Left Eye,-456.8,0.0627,Normal
23:09:12.572,Right Eye,719.39,0.0637,ANOMALY DETECTED
23:09:12.572,Left Eye,0.0,0.0637,Normal
23:09:12.635,Right Eye,-458.5,0.0625,Normal
23:09:12.635,Left Eye,-183.4,0.0625,Normal
23:09:12.699,Right Eye,892.83,0.0642,ANOMALY DETECTED
23:09:12.699,Left Eye,0.0,0.0642,Normal
23:09:12.760,Right Eye,-188.61,0.0608,Normal
23:09:12.760,Left Eye,0.0,0.0608,Normal
23:09:12.822,Right Eye,0.0,0.0623,Normal
23:09:12.822,Left Eye,-149.08,0.0623,Normal
23:09:12.886,Right Eye,-1350.09,0.0637,ANOMALY DETECTED
23:09:12.886,Left Eye,-720.05,0.0637,ANOMALY DETECTED
23:09:12.948,Right Eye,462.05,0.062,Normal
23:09:12.948,Left Eye,92.41,0.062,Normal
23:09:12.997,Right Eye,-471.21,0.0486,Normal
23:09:12.997,Left Eye,0.0,0.0486,Normal
23:09:13.049,Right Eye,0.0,0.0525,Normal
23:09:13.049,Left Eye,-545.16,0.0525,ANOMALY DETECTED
23:09:13.093,Right Eye,-786.67,0.0437,ANOMALY DETECTED
23:09:13.093,Left Eye,524.45,0.0437,ANOMALY DETECTED
23:09:13.141,Right Eye,0.0,0.0481,Normal
23:09:13.141,Left Eye,-298.1,0.0481,Normal
23:09:13.196,Right Eye,0.0,0.055,Normal
23:09:13.196,Left Eye,416.89,0.055,Normal
23:09:13.256,Right Eye,294.54,0.0599,Normal
23:09:13.256,Left Eye,-239.32,0.0599,Normal
23:09:13.306,Right Eye,-902.22,0.0508,ANOMALY DETECTED
23:09:13.306,Left Eye,0.0,0.0508,Normal
23:09:13.367,Right Eye,1899.23,0.0603,ANOMALY DETECTED
23:09:13.367,Left Eye,569.77,0.0603,ANOMALY DETECTED
23:09:13.429,Right Eye,-457.28,0.0626,Normal
23:09:13.429,Left Eye,0.0,0.0626,Normal
23:09:13.472,Right Eye,270.95,0.0423,Normal
23:09:13.472,Left Eye,0.0,0.0423,Normal
23:09:13.522,Right Eye,0.0,0.0506,Normal
23:09:13.522,Left Eye,-261.53,0.0506,Normal
23:09:13.570,Right Eye,-596.33,0.048,ANOMALY DETECTED
23:09:13.570,Left Eye,0.0,0.048,Normal
23:09:13.610,Right Eye,0.0,0.0395,Normal
23:09:13.610,Left Eye,0.0,0.0395,Normal
23:09:13.655,Right Eye,641.01,0.0447,ANOMALY DETECTED
23:09:13.655,Left Eye,377.06,0.0447,Normal
23:09:13.710,Right Eye,0.0,0.0551,Normal
23:09:13.710,Left Eye,-103.99,0.0551,Normal
23:09:13.765,Right Eye,0.0,0.0556,Normal
23:09:13.765,Left Eye,0.0,0.0556,Normal
23:09:13.812,Right Eye,0.0,0.0463,Normal
23:09:13.812,Left Eye,-285.4,0.0463,Normal
23:09:13.861,Right Eye,-535.62,0.0494,ANOMALY DETECTED
23:09:13.861,Left Eye,-812.36,0.0494,ANOMALY DETECTED
23:09:13.911,Right Eye,190.4,0.0502,Normal
23:09:13.911,Left Eye,228.48,0.0502,Normal
23:09:13.953,Right Eye,-315.47,0.0419,Normal
23:09:13.953,Left Eye,0.0,0.0419,Normal
23:09:14.001,Right Eye,297.56,0.0481,Normal
23:09:14.001,Left Eye,-119.02,0.0481,Normal
23:09:14.051,Right Eye,-176.41,0.05,Normal
23:09:14.051,Left Eye,229.33,0.05,Normal
23:09:14.106,Right Eye,0.0,0.0547,Normal
23:09:14.106,Left Eye,261.82,0.0547,Normal
23:09:14.165,Right Eye,0.0,0.0592,Normal
23:09:14.165,Left Eye,0.0,0.0592,Normal
23:09:14.226,Right Eye,-279.96,0.0614,Normal
23:09:14.226,Left Eye,-373.28,0.0614,Normal
23:09:14.289,Right Eye,0.0,0.0624,Normal
23:09:14.289,Left Eye,0.0,0.0624,Normal
23:09:14.350,Right Eye,943.74,0.0607,ANOMALY DETECTED
23:09:14.350,Left Eye,566.25,0.0607,ANOMALY DETECTED
23:09:14.410,Right Eye,0.0,0.0605,Normal
23:09:14.410,Left Eye,-236.61,0.0605,Normal
23:09:14.472,Right Eye,0.0,0.062,Normal
23:09:14.472,Left Eye,369.68,0.062,Normal
23:09:14.534,Right Eye,0.0,0.0618,Normal
23:09:14.534,Left Eye,0.0,0.0618,Normal
23:09:14.595,Right Eye,0.0,0.0611,Normal
23:09:14.595,Left Eye,-234.25,0.0611,Normal
23:09:14.658,Right Eye,-182.01,0.063,Normal
23:09:14.658,Left Eye,364.02,0.063,Normal
23:09:14.720,Right Eye,183.78,0.0624,Normal
23:09:14.720,Left Eye,0.0,0.0624,Normal
23:09:14.781,Right Eye,235.86,0.0607,Normal
23:09:14.781,Left Eye,-471.73,0.0607,Normal
23:09:14.842,Right Eye,0.0,0.0609,Normal
23:09:14.842,Left Eye,0.0,0.0609,Normal
23:09:14.904,Right Eye,0.0,0.0625,Normal
23:09:14.904,Left Eye,-183.27,0.0625,Normal
23:09:14.966,Right Eye,0.0,0.0618,Normal
23:09:14.966,Left Eye,463.89,0.0618,Normal
